coffee_shop_name,num_reviews,rating,coffee,tea,vibe,internet,food,alcohol,seating,service,parking,location,local,price,hours
Manana Coffee & Juice ,33,4.848484848,0.6666667,0.03030303,0.515151515,0,0.212121212,0,0.212121212,0.272727273,0,0.121212121,-0.03030303,-0.060606061,0.060606061
Brian's Brew ,45,4.844444444,0.8888889,0,0.044444444,0,0.111111111,0,0.022222222,0.222222222,0.111111111,0.022222222,0.022222222,0,0
Flitch Coffee ,28,4.821428571,0.5714286,0.071428571,0.464285714,0,0,0,0.392857143,0.285714286,0.285714286,0.035714286,-0.035714286,0.035714286,0
Third Coast Coffee Roasting Company ,56,4.821428571,0.75,0,0.160714286,0,0.035714286,0.035714286,0,0.214285714,0.053571429,0.035714286,0.071428571,0.178571429,0.035714286
Kowabunga Coffee ,16,4.8125,0.0625,0.125,0,0,0,0,0,0.4375,0,0.1875,0.1875,0,0.25
Legend Coffee ,28,4.714285714,0.8928571,0.035714286,0,0,0.178571429,0,0,0.392857143,0.071428571,0.107142857,0.035714286,0.035714286,0.071428571
Fleet Coffee ,57,4.701754386,1,0,0.315789474,0.035087719,0.087719298,0,0.087719298,0.280701754,0.01754386,0,0,0.035087719,0.052631579
Holy Grounds ,30,4.633333333,0.5333333,0,0.566666667,0,0.433333333,0,-0.033333333,0.3,0.066666667,0.033333333,0,0.033333333,-0.033333333
Anderson's Coffee Company ,100,4.62,0.63,0.13,0.12,0,0,0,0,0.2,0.03,0.07,0.1,0.13,-0.02
Apanas Coffee & Beer ,136,4.580882353,0.8088235,0.014705882,0.551470588,0.029411765,0.198529412,0.286764706,0.227941176,0.573529412,-0.022058824,0.066176471,0.102941176,-0.022058824,0.110294118
Flat Track Coffee ,63,4.571428571,0.7936508,0,0.222222222,0.015873016,0.126984127,0,0.047619048,0.396825397,0.063492063,0.015873016,0.031746032,0,0
Friends & Neighbors ,29,4.551724138,0.3793103,0,0,0,0.310344828,0.103448276,0.206896552,0.482758621,0.068965517,0.034482759,0,-0.034482759,0
Lola Savannah Coffee,104,4.55,0.68,0.265,0.22,0.015,0.2,0.06,0.175,0.34,0.055,0.42,0.015,0.015,0.015
Corona Coffee ,100,4.53,0.76,0.08,0.28,0.05,0.35,0,0.01,0.54,0.08,0.02,0.04,0.01,0.01
Figure 8 Coffee Purveyors ,100,4.5,0.88,0,0.47,0.03,0.11,0,0.15,0.32,0.1,0.08,0.08,0.02,0.02
Sister Coffee ,17,4.470588235,0.8235294,0.058823529,0,0,0.117647059,0,0,0.058823529,0.058823529,0.117647059,0.117647059,0,0
Lucky Lab Coffee ,25,4.44,0.6,-0.04,0.2,0,0.36,0,0,0.36,0,0,0,0.2,-0.04
Cafe Ruckus ,68,4.426470588,0.8676471,0.117647059,0,0.029411765,0.205882353,0,0.117647059,0.455882353,0.029411765,0.235294118,0,0.029411765,0.029411765
Cafe Creme ,100,4.37,0.54,0.02,0.47,0.04,0.52,0,0.09,0.37,0.03,0.02,0.06,0,0.03
Fat Cats Organic Coffee And Dessert ,94,4.361702128,0.7978723,0.031914894,0.180851064,0.021276596,0.404255319,-0.010638298,0.127659574,0.404255319,0.074468085,0.063829787,0.117021277,0.031914894,0.010638298
The Factory - Cafe With a Soul ,244,4.360655738,0.2254098,0.049180328,0.75,0,0.639344262,0.069672131,0.147540984,0.360655738,0.131147541,0.016393443,0,-0.163934426,0.049180328
Mary's Cafe ,100,4.36,0.31,0,0.23,0,0.86,0,0,0.27,0.01,0.08,0.1,0.03,0
Patika ,100,4.35,0.95,0.13,0.62,0.05,0.35,0.06,0.24,0.4,0.05,0.08,0.02,-0.01,0.08
Sa-Ten ,100,4.35,0.53,0.01,0.61,0.01,0.84,0,0.06,0.1,0.07,0.08,-0.01,-0.02,-0.01
Seventh Flag Coffee Co ,100,4.34,0.64,0.05,0.36,0.06,0.15,0,0.17,0.41,0.16,0.14,0.02,0.01,0.06
Cafe Java ,100,4.33,0.47,0.02,0,0.02,0.92,0,0.05,0.62,0.04,0.01,0.04,0.18,0.02
Emerald Tavern Games & Cafe ,76,4.328947368,0.3157895,0.013157895,0,0,0.368421053,0.394736842,0.065789474,0.460526316,0.039473684,0.026315789,0,0.078947368,0.052631579
Elixer Coffee ,52,4.326923077,0.7307692,0.038461538,0,0,0.076923077,0,0.057692308,0.211538462,0.076923077,0.211538462,0,0.153846154,0.038461538
Summermoon Coffee Bar ,200,4.31,0.65,-0.01,0.22,0.02,0.1,0,0.08,0.275,-0.01,0.07,0.02,0.02,0.025
